,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,top_10p_wealth_ratio,state_t,k_ast_t,Gamma_t,gamma_period_t,gamma_star_t,r_bar_t
1783,1783.0,0.7779806507513835,0.7918,0.00037775695371186705,0.36453810549607796,0.0,-0.07964105440269198,105.0,16.99047619047619,96.42596395599526,0.8098714020458235
1784,1784.0,0.7785712155137595,0.7924,0.00037805096552127356,0.36480785647701164,0.0,-0.07903587443946192,105.0,17.0,87.10136435256382,0.7895172656638909
1785,1785.0,0.7791606219691409,0.793,0.0003783460908903074,0.36507874834542003,0.0,-0.07843137254901955,105.0,17.00952380952381,97.45165856195916,0.8118725365594767
1786,1786.0,0.7797488691484693,0.7937,0.0003786423853418563,0.3653507024817259,0.0,-0.07782754759238508,105.0,17.01904761904762,88.2977051100967,0.7923690846724288
1787,1787.0,0.7803359560878043,0.7943,0.0003789398904996299,0.36562374944409043,0.0,-0.077224398433128,105.0,17.02857142857143,93.41434894914774,0.8037417855011385
1788,1788.0,0.7809218818285255,0.7949,0.0003792385490191744,0.3658979639660282,0.0,-0.07662192393736,105.0,17.038095238095238,94.84911451845662,0.8067105483650471
1789,1789.0,0.7815066454175239,0.7956,0.0003795384125088439,0.3661732784787343,0.0,-0.07602012297372829,105.0,17.047619047619047,88.9220091538285,0.7938268207411056
1790,1790.0,0.7820902459074021,0.7962,0.0003798395243828172,0.36644970989605147,0.0,-0.07541899441340782,105.0,17.057142857142857,96.82154342315235,0.8106482019894201
1791,1791.0,0.7826726823566651,0.7968,0.000380141829787477,0.36672735478302954,0.0,-0.0748185371300949,105.0,17.066666666666666,88.07618742153409,0.7918468785939871
1792,1792.0,0.7832539538299156,0.7975,0.0003804453551890839,0.36700613774383134,0.0,-0.07421875,105.0,17.076190476190476,100.39076615025675,0.817380282705548
1793,1793.0,0.7838340593980432,0.7981,0.00038075018817519554,0.36728607215216674,1.0,-0.07361963190184051,105.0,17.085714285714285,82.83047338817337,0.7786643902490241
1794,1794.0,0.7746502709682184,0.788,0.0003776835945466013,0.3644284394100184,0.0,-0.08324043106651802,106.0,16.933962264150942,90.40853580293424,0.7972167874359235
1795,1795.0,0.7752427924397182,0.7886,0.00037796816112458797,0.36468915698315224,0.0,-0.0826369545032497,106.0,16.943396226415093,89.8191500214799,0.795886140884778
1796,1796.0,0.775834185535505,0.7892,0.0003782537532573615,0.3649508684168171,0.0,-0.0820341499628805,106.0,16.952830188679247,93.77879178793407,0.8045044835425981
1797,1797.0,0.7764244492579503,0.7899,0.00037854047027692907,0.3652135568250819,0.0,-0.08143201632350205,106.0,16.962264150943398,95.43485664892624,0.8078968840412712
1798,1798.0,0.777013582612932,0.7905,0.0003788282581100551,0.36547729410180846,0.0,-0.08083055246570248,106.0,16.971698113207548,84.95717102429506,0.7842049927946567
