,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,top_10p_wealth_ratio,state_t,k_ast_t,Gamma_t,gamma_period_t,gamma_star_t,r_bar_t
92,92.0,0.6394435445127691,0.8007,0.00019434847923293212,0.19231009530003434,0.0,0.8007246376811594,1.0,93.0,84.9465275922394,0.7841779546147306
93,93.0,0.6421997683929219,0.8029,0.00019610411676477873,0.19400313362891633,0.0,0.8028673835125448,1.0,94.0,90.72407209025621,0.7979220628997501
94,94.0,0.6449310370135344,0.805,0.00019786840002061513,0.19570348067681195,0.0,0.8049645390070922,1.0,95.0,87.50189412696464,0.790480725974551
95,95.0,0.6476373071941716,0.807,0.00019964106529252277,0.19741084375521692,0.0,0.8070175438596492,1.0,96.0,91.78402240293751,0.800255721493128
96,96.0,0.6503185485751161,0.809,0.0002014218466780727,0.19912495501065877,0.0,0.8090277777777778,1.0,97.0,91.04532374073528,0.7986350909626051
97,97.0,0.6529747432741206,0.811,0.00020321049928538395,0.20084555044136215,0.0,0.8109965635738832,1.0,98.0,85.991110268498,0.7867996671273406
98,98.0,0.6556058855378357,0.8129,0.00020500677034404643,0.20257236669682188,0.0,0.8129251700680272,1.0,99.0,96.1490352696111,0.8093237931932972
99,99.0,0.6582119813888635,0.8148,0.00020681042807057354,0.20430515078521483,0.0,0.8148148148148148,1.0,100.0,91.55173369503147,0.7997489223480616
100,100.0,0.6607930482692264,0.8167,0.0002086212330309121,0.20604365893514112,0.0,0.8166666666666667,1.0,101.0,93.1256297139285,0.8031333222695913
101,101.0,0.6633491146810985,0.8185,0.00021043896838574837,0.20778765618548167,0.0,0.8184818481848185,1.0,102.0,92.04786382960457,0.8008282585756549
102,102.0,0.6658802198256132,0.8203,0.00021226340263402678,0.20953689261541764,0.0,0.8202614379084967,1.0,103.0,96.75593589261712,0.8105198077595956
103,103.0,0.6683864132404734,0.822,0.00021409433673893604,0.211291156310631,0.0,0.8220064724919094,1.0,104.0,87.71561742933855,0.7909912297191296
