,t,hat_beta_t,argmax_Wit,top_agent_wealth_ratio,top_10p_wealth_ratio,state_t,k_ast_t,Gamma_t,gamma_period_t,gamma_star_t,r_bar_t
36,36.0,0.6538213963544023,0.9875,0.00045422707338777006,0.2960365026023881,0.0,1.0,0.0,0.0,91.66666666666669,0.8
37,37.0,0.6576316932002251,0.9875,0.00046265341195347485,0.29975165524325076,0.0,1.0,0.0,0.0,91.66666666666669,0.8
38,38.0,0.6614034149386798,0.9875,0.0004711362641746389,0.3034726189468703,0.0,1.0,0.0,0.0,91.66666666666669,0.8
39,39.0,0.6651361895099942,0.9875,0.0004796740899286423,0.3071981343321562,0.0,1.0,0.0,0.0,91.66666666666669,0.8
40,40.0,0.6688296813096977,0.9875,0.0004882653519371407,0.3109347030084728,0.0,1.0,0.0,0.0,91.66666666666669,0.8
41,41.0,0.672483590594042,0.9875,0.0004969085174934507,0.3146766352669661,0.0,1.0,0.0,0.0,91.66666666666669,0.8
42,42.0,0.6760976528334222,0.9875,0.0005056020601216676,0.318419060321509,0.0,1.0,0.0,0.0,91.66666666666669,0.8
43,43.0,0.6796716380176677,0.9875,0.0005143444611656027,0.32216525470217877,0.0,1.0,0.0,0.0,91.66666666666669,0.8
44,44.0,0.6832053499171118,0.9875,0.0005231342113059673,0.32591434405859315,0.0,1.0,0.0,0.0,91.66666666666669,0.8
45,45.0,0.6866986253032669,0.9875,0.0005319698120045469,0.3296598460763646,0.0,1.0,0.0,0.0,91.66666666666669,0.8
46,46.0,0.6901513331329794,0.9875,0.0005408497768745022,0.3333979501146211,0.0,1.0,0.0,0.0,91.66666666666669,0.8
47,47.0,0.6935633736998473,0.9875,0.0005497726329761382,0.33713897558339784,0.0,1.0,0.0,0.0,91.66666666666669,0.8
48,48.0,0.6969346777566212,0.9875,0.0005587369220379438,0.34087818663212927,0.0,1.0,0.0,0.0,91.66666666666669,0.8
49,49.0,0.7002652056122785,0.9875,0.0005677412016028054,0.3446210173956983,0.0,1.0,0.0,0.0,91.66666666666669,0.8
50,50.0,0.7035549462073114,0.9875,0.0005767840460997396,0.3483600022305237,0.0,1.0,0.0,0.0,91.66666666666669,0.8
51,51.0,0.706803916170716,0.9875,0.0005858640478416314,0.3520946841480339,0.0,1.0,0.0,0.0,91.66666666666669,0.8
52,52.0,0.7100121588620237,0.9875,0.0005949798179497573,0.35582306136272956,0.0,1.0,0.0,0.0,91.66666666666669,0.8
53,53.0,0.7131797434016471,0.9875,0.0006041299872060637,0.3595458145967624,0.0,1.0,0.0,0.0,91.66666666666669,0.8
54,54.0,0.7163067636926157,0.9875,0.0006133132068343888,0.36326696221762367,0.0,1.0,0.0,0.0,91.66666666666669,0.8
55,55.0,0.7193933374366992,0.9875,0.0006225281492120406,0.36697967527532377,0.0,1.0,0.0,0.0,91.66666666666669,0.8
56,56.0,0.7224396051477571,0.9875,0.0006317735085132047,0.3706829175663604,0.0,1.0,0.0,0.0,91.66666666666669,0.8
57,57.0,0.725445729164997,0.9875,0.0006410480012859182,0.3743772299624119,0.0,1.0,0.0,0.0,91.66666666666669,0.8
58,58.0,0.7284118926686933,0.9875,0.0006503503669644502,0.3780653590433639,0.0,1.0,0.0,0.0,91.66666666666669,0.8
59,59.0,0.731338298700779,0.9875,0.0006596793683190084,0.38174426500469705,0.0,1.0,0.0,0.0,91.66666666666669,0.8
60,60.0,0.734225169192516,0.9875,0.0006690337918448124,0.3854156518867546,0.0,1.0,0.0,0.0,91.66666666666669,0.8
61,61.0,0.7370727440013982,0.9875,0.0006784124480927082,0.38907326930773334,0.0,1.0,0.0,0.0,91.66666666666669,0.8
62,62.0,0.7398812799591639,0.9875,0.0006878141719435226,0.39271580988909505,0.0,1.0,0.0,0.0,91.66666666666669,0.8
63,63.0,0.7426510499327831,0.9875,0.0006972378228283709,0.3963452600817542,0.0,1.0,0.0,0.0,91.66666666666669,0.8
64,64.0,0.745382341899995,0.9875,0.0007066822848973205,0.39996466583749957,0.0,1.0,0.0,0.0,91.66666666666669,0.8
65,65.0,0.7480754580409814,0.9875,0.0007161464671386767,0.40357211556677147,0.0,1.0,0.0,0.0,91.66666666666669,0.8
66,66.0,0.7507307138474524,0.9875,0.0007256293034513005,0.4071619272597861,0.0,1.0,0.0,0.0,91.66666666666669,0.8
67,67.0,0.7533484372504373,0.9875,0.000735129752672302,0.4107345352281098,0.0,1.0,0.0,0.0,91.66666666666669,0.8
68,68.0,0.7559289677678355,0.9875,0.0007446467985624917,0.4142973064180034,0.0,1.0,0.0,0.0,91.66666666666669,0.8
69,69.0,0.7584726556726976,0.9875,0.000754179449751976,0.4178486191176057,0.0,1.0,0.0,0.0,91.66666666666669,0.8
70,70.0,0.7609798611830795,0.9875,0.0007637267396481809,0.42138352414970265,0.0,1.0,0.0,0.0,91.66666666666669,0.8
71,71.0,0.7634509536741821,0.9875,0.0007732877263086594,0.42490065174643477,0.0,1.0,0.0,0.0,91.66666666666669,0.8
72,72.0,0.7658863109133761,0.9875,0.0007828614922809526,0.4283979508081046,0.0,1.0,0.0,0.0,91.66666666666669,0.8
73,73.0,0.7682863183186297,0.9875,0.0007924471444117288,0.43187560444102174,0.0,1.0,0.0,0.0,91.66666666666669,0.8
74,74.0,0.7706513682407076,0.9875,0.0008020438136273778,0.4353333820949086,0.0,1.0,0.0,0.0,91.66666666666669,0.8
75,75.0,0.7729818592694444,0.9875,0.0008116506546882283,0.4387711393916227,0.0,1.0,0.0,0.0,91.66666666666669,0.8
